W_PROV,SEQ_NO,FSIZE,URB,RFACT,TOINC,WAGES,RPCINC,CASH_ABROAD,CASH_DOMESTIC,TOTEX,PERCAPITA,FOOD,CLOTH,HEALTH,TRANSPORT,COMMUNICATION,RECREATION,EDUCATION
10,26144,8.0,2,555.783874512,202045.0,186000,1,0,0,184146.0,25255.625,97384.0,2360,831,25550,1800,2600,0
10,26145,1.0,2,555.783874512,65705.0,52800,4,0,0,56495.0,65705.0,20821.0,540,72,6850,800,0,0
10,26146,5.0,2,555.783874512,100000.0,78900,1,0,13000,77258.0,20000.0,35965.0,2820,60,6300,420,1350,5350
10,26147,4.0,2,555.783874512,239740.0,88000,3,1000,0,211116.0,59935.0,72265.0,6160,1850,13350,19200,280,4400
10,26148,6.0,2,598.736755371,218210.0,102500,1,0,14950,170859.0,36368.332031,88233.0,300,2572,7920,4500,1870,4000
10,26149,6.0,2,598.736755371,172730.0,115080,1,0,15500,164257.0,28788.333984,62420.0,520,440,20800,4535,13650,16100
10,26150,3.5,2,598.736755371,170950.0,110000,2,0,0,138959.0,48842.855469,64499.0,1480,1410,19000,10200,0,0
10,26151,1.0,2,598.736755371,35420.0,0,1,1000,5000,27474.0,35420.0,15188.0,300,124,700,0,0,0
10,26152,4.0,2,598.736755371,143405.0,142000,1,0,0,103417.0,35851.25,45249.0,1890,846,6840,600,0,0
10,26153,4.0,2,598.736755371,117710.0,117000,1,0,0,93044.0,29427.5,40421.0,1760,2040,5020,900,180,1500
10,26154,5.5,2,598.736755371,295345.0,258900,3,0,9000,217273.0,53699.089844,78127.0,4539,1038,24340,19800,560,2600
10,26155,5.0,2,598.736755371,216800.0,48000,2,138000,21200,153474.0,43360.0,83858.0,2775,790,4940,10430,880,2750
10,26156,3.0,2,598.736755371,196980.0,28800,4,0,0,171474.0,65660.0,60880.0,1110,930,8160,19950,2000,2500
10,26157,2.5,2,598.736755371,87055.0,28800,1,0,1000,67975.0,34822.0,34753.0,730,845,5990,270,0,0
10,26158,7.5,2,598.736755371,235235.0,209200,1,0,14500,180360.0,31364.666016,71310.0,480,351,2840,3250,2200,4600
10,26159,5.0,2,598.736755371,78226.0,23200,1,0,13100,88543.0,15645.200195,46526.0,2160,170,3280,520,4120,3300
10,26160,9.0,2,598.736755371,321590.0,290800,1,5000,0,230599.0,35732.222656,140800.0,3555,505,10040,1560,500,2840
10,26161,5.0,2,598.736755371,155970.0,137980,1,0,12000,107487.0,31194.0,68420.0,2845,220,1120,560,700,3620
10,26162,4.5,1,523.243896484,390590.0,312400,5,60000,0,232710.0,86797.78125,115471.0,4600,3610,18600,3480,0,0
10,26163,9.0,1,523.243896484,179200.0,113300,1,13500,39000,135203.75,19911.111328,74051.75,1375,2040,4132,1500,300,2600
10,26164,3.0,1,523.243896484,194600.0,176600,4,0,3000,138789.0,64866.667969,88079.0,100,25,13380,1800,0,0
10,26165,3.0,1,523.243896484,333120.0,201400,7,0,43000,218037.0,111040.0,75067.0,1350,2880,6760,15600,3000,35000
10,26166,2.5,1,523.243896484,207115.0,113000,5,0,20000,145213.0,82846.0,57007.0,1500,1500,2200,1800,0,0
10,26167,4.5,1,523.243896484,234088.0,204000,2,0,0,133363.0,52019.554687,65671.0,1300,1800,2580,560,0,0
10,26168,1.0,1,523.243896484,78457.0,55000,5,6000,0,56960.0,78457.0,31654.0,400,850,660,480,0,0
10,26169,4.0,1,523.243896484,184500.0,155000,2,6000,4600,149897.0,46125.0,86945.0,4550,1200,3000,1600,0,0
10,26170,2.0,1,523.243896484,121265.0,97000,3,0,0,97603.0,60632.5,44236.0,1000,500,1200,1080,200,0
10,26171,2.5,1,523.243896484,149900.0,137600,3,0,0,103807.0,59960.0,62854.0,750,3800,2160,480,0,0
10,26172,4.0,1,523.243896484,237300.0,207000,3,0,3000,119298.0,59325.0,72926.0,390,240,7400,3900,0,0
10,26173,6.0,1,523.243896484,278400.0,257400,2,0,0,160487.0,46400.0,92142.0,2100,500,2700,2100,200,0
10,26174,7.0,1,523.243896484,226900.0,209600,1,0,0,165998.0,32414.285156,101668.0,2110,240,3016,1250,500,13000
10,26175,4.0,1,523.243896484,166100.0,131600,1,8500,2000,126555.0,41525.0,63120.0,2300,500,4100,1900,0,0
10,26176,1.0,1,608.62902832,97731.0,0,6,0,42000,60883.0,97731.0,22310.0,1000,910,660,650,0,0
10,26177,3.5,1,608.62902832,451380.0,194200,7,146500,0,367868.0,128965.710938,156441.0,6189,2700,40950,14408,0,0
10,26178,2.0,1,608.62902832,244500.0,0,7,150000,0,139567.0,122250.0,69811.0,3819,150,4758,5400,500,3680
10,26179,4.0,1,608.62902832,411700.0,54300,6,0,0,385163.0,102925.0,168793.0,3368,9848,15760,30100,0,0
10,26180,2.0,1,608.62902832,378691.0,261000,9,25000,0,229377.0,189345.5,60106.0,300,90630,14000,3700,0,0
10,26181,5.5,1,608.62902832,348215.0,72400,3,249000,0,216389.0,63311.816406,113110.0,1400,5980,19956,9650,0,0
10,26182,4.0,1,608.62902832,252760.0,199000,3,0,35000,227294.0,63190.0,126154.0,2360,2450,15340,11700,640,6000
10,26183,1.5,1,608.62902832,249000.0,144800,8,0,0,122115.0,166000.0,57991.0,600,3300,2424,2600,0,0
10,26184,5.0,1,608.62902832,277960.0,0,3,0,27600,173230.0,55592.0,108610.0,400,660,6700,3100,1000,1000
10,26185,2.5,1,608.62902832,170194.0,42200,4,0,51000,116230.0,68077.601563,55886.0,1200,650,1544,800,1200,15000
10,26186,3.0,1,482.894195557,402618.0,299568,8,0,27000,172712.0,134206.0,60639.0,6370,40,2220,13294,1500,0
10,26187,4.0,1,482.894195557,1555200.0,0,10,0,12000,1133216.0,388800.0,331106.0,40700,3100,79570,62000,31000,116000
10,26188,2.0,1,482.894195557,457324.0,0,9,30000,53600,328781.0,228662.0,49793.0,300,22754,6240,19494,100000,0
